lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1684,Giuseppe Verdi,Verdi,Giuseppe Verdi,Herbert von Karajan,Philharmonia Orchestra & Chorus,,Falstaff,1957,1999,EMI,2,,klasyka,classics,CD
1685,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,"Ambrosian Opera Chorus; Orchestra of the Royal Opera House, Covent Garden","Placido Domingo, Monserat Caballe",Don Carlos,1971,1992,EMI,1,,klasyka,classics,CD
1686,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,"Ambrosian Opera Chorus; Orchestra of the Royal Opera House, Covent Garden","Placido Domingo, Monserat Caballe",Don Carlos,1971,1992,EMI,2,,klasyka,classics,CD
1687,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,"Ambrosian Opera Chorus; Orchestra of the Royal Opera House, Covent Garden","Placido Domingo, Monserat Caballe",Don Carlos,1971,1992,EMI,3,,klasyka,classics,CD
1688,"Galina Vishnievskaya, Mstislav Rostropovich ",Vishnievskaya,"Mussorgsky, Szostakowicz, Prokofiev",,,"Galina Vishnievskaya, Mstislav Rostropovich ","Mussorgsky, Szostakowicz, Prokofiev",1963.67,1998,BMG (Melodiya),,,klasyka,classics,CD
1689,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,Nigel Kennedy,Berliner Philharmoniker members,Nigel Kennedy,różne,,2000,EMI,,,klasyka,classics,CD
1690,Antonio Vivaldi,Vivaldi Antonio,"Antonio Vivaldi, Astor Piazzola",Gidon Kremer,Kremerata Baltica,,Eight Seasons,,,Nonesuch,,,klasyka,classics,CD
1691,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,Nigel Kennedy,English Chamber Orchestra,Nigel Kennedy,The Four Seasons,1989,1997,EMI,,rolf,klasyka,classics,CD
1692,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,Marcin Nałecz-Niesiołowski,,Katarzyna Duda,Cztery Pory Roku,,2004,Atom Group,,,klasyka,classics,CD
1693,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,"Christopher Hogwood, Simon Preston, Philip Picket","The Choir of Christ Church Cathedral, Oxford; The Academy of Ancient Music, New London Consort",,Gloria / Nulla in mundo pax sincera / Nisi Dominus / Cantatas,"1976,78,92",1997,Decca,1,rolf,klasyka,classics,CD
1694,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,"Christopher Hogwood, Simon Preston, Philip Picket","The Choir of Christ Church Cathedral, Oxford; The Academy of Ancient Music, New London Consort",,Gloria / Nulla in mundo pax sincera / Nisi Dominus / Cantatas,"1976,78,92",1997,Decca,2,rolf,klasyka,classics,CD
1695,Antonio Vivaldi,Vivaldi Antonio,Antonio Vivaldi,,,,Gloria / Stabat Mater / Motets,,1991,EMI,,rolf,klasyka,classics,CD
